id,train,rally,serve,hitpoint,previous.hitpoint,crosscourt,U-previous.hitpoint,F-previous.hitpoint,F-hitpoint,speed,previous.speed,speed.difference,net.clearance,previous.net.clearance,net.clearance.difference,distance.from.sideline,outside.sideline,true.distance.from.sideline,depth,outside.baseline,true.distance.from.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,opponent.depth,opponent.distance.from.center,same.side,player.distance.from.each.other,previous.distance.from.sideline,previous.depth,previous.time.to.net,server.is.impact.player,outcome,gender
574,1,4,1,F,F,TRUE,FALSE,TRUE,TRUE,23.75631977,36.74850164,-12.99218187,7.071731657,0.401735693,6.669995964,0.007143475,FALSE,0.007143475,1.187735522,FALSE,1.187735522,4.115823849,16.4752,4.0454,14.4766,0.4474,9.0824,1.477,TRUE,,1.160825119,6.310817834,0.267288806,FALSE,FE,mens
6740,1,8,1,B,B,TRUE,FALSE,FALSE,FALSE,19.93206751,32.92868157,-12.99661406,6.412357645,0.453224736,5.959132909,0.727855058,TRUE,-0.727855058,0.142522387,FALSE,0.142522387,0.675694606,13.8764,1.3246,14.4076,0.907,4.7728,1.0712,TRUE,,1.907553872,7.699104308,0.154027518,FALSE,FE,mens
3137,1,8,1,V,F,FALSE,FALSE,TRUE,FALSE,23.28420768,38.05974131,-14.77553363,5.570620256,0.038288786,5.53233147,1.851107581,FALSE,1.851107581,0.454041943,FALSE,0.454041943,4.081689778,15.9218,1.6112,15.6556,2.4618,10.5808,2.3398,FALSE,,1.680898676,3.087009984,0.295223773,FALSE,FE,mens
419,1,3,1,V,F,FALSE,FALSE,TRUE,FALSE,21.78355321,36.56302046,-14.77946725,5.496654249,0.518077312,4.978576937,1.410188491,FALSE,1.410188491,2.973621524,FALSE,2.973621524,2.761658227,12.7764,0.7262,10.6768,1.0678,11.674,4.5452,FALSE,,1.882450922,0.504778772,0.356248974,TRUE,FE,mens
2131,1,15,2,F,B,FALSE,FALSE,FALSE,TRUE,20.7496007,29.91090581,-9.16130511,5.446204577,0.130365567,5.31583901,0.561416716,FALSE,0.561416716,6.474753195,FALSE,6.474753195,2.014260688,11.3458,2.3118,11.8482,0.3612,7.238,1.277,FALSE,,1.182983857,3.412189382,0.19622348,TRUE,FE,mens
718,1,8,2,B,B,TRUE,FALSE,FALSE,FALSE,21.09307396,33.86823269,-12.77515873,5.403497006,0.180721805,5.222775201,1.690991191,TRUE,-1.690991191,0.602147332,FALSE,0.602147332,6.37099483,15.8836,4.502,15.647,1.8646,13.0528,1.5092,TRUE,,1.114851352,6.098238142,0.442547425,FALSE,FE,mens
7276,1,3,1,F,B,FALSE,FALSE,FALSE,TRUE,34.71750999,31.73319643,2.98431356,5.33283902,1.24374272,4.0890963,2.198440266,FALSE,2.198440266,11.82488985,TRUE,-11.82488985,2.473187886,13.5344,2.42,11.325,1.3086,15.0476,4.462,FALSE,,3.360285306,1.441181896,0.575125048,TRUE,FE,mens
1034,1,3,1,F,F,TRUE,FALSE,TRUE,TRUE,27.26833716,36.12612507,-8.85778791,5.316971627,0.545229454,4.771742173,2.239508632,FALSE,2.239508632,5.226131246,TRUE,-5.226131246,1.931283149,12.4018,0.4474,10.919,0.79,12.944,4.9692,FALSE,,3.818625829,2.504302199,0.410527567,TRUE,FE,mens
656,1,13,1,B,B,TRUE,FALSE,FALSE,FALSE,17.58988228,36.70713875,-19.11725647,5.313035456,0.500809161,4.812226295,1.078729785,TRUE,-1.078729785,4.348365048,FALSE,4.348365048,2.260515101,14.8948,1.7122,13.1024,0.3348,12.9248,2.996,TRUE,,0.814523275,0.832331325,0.398423708,TRUE,FE,mens
6670,1,12,2,B,F,FALSE,FALSE,TRUE,FALSE,23.30270746,22.44651533,0.85619213,5.220909382,0.389581375,4.831328007,0.948723289,FALSE,0.948723289,0.399433716,TRUE,-0.399433716,1.632798089,13.618,3.141,15.0984,2.4522,5.8092,0.9006,FALSE,,1.039839638,3.226292881,0.276610313,FALSE,FE,mens
3806,1,9,1,B,U,FALSE,TRUE,FALSE,FALSE,20.68623379,40.29225698,-19.60602319,5.110413545,0.279784148,4.830629397,0.537265303,TRUE,-0.537265303,2.70191563,FALSE,2.70191563,2.982113834,15.6448,3.066,15.2334,0.1124,12.4798,1.3808,TRUE,,0.743739744,4.29114122,0.340861023,TRUE,FE,mens
3815,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,20.95361414,18.87023976,2.08337438,5.082660383,0.345630869,4.737029514,1.22754778,FALSE,1.22754778,5.699283893,FALSE,5.699283893,8.511763079,12.653,2.6818,13.5306,5.7846,7.0668,0.3728,FALSE,,1.17859456,4.105342578,0.372641867,FALSE,FE,mens
4894,1,4,1,F,F,TRUE,FALSE,TRUE,TRUE,21.73066132,24.51929512,-2.7886338,5.05024637,0.170933671,4.879312699,1.944641044,FALSE,1.944641044,3.921565294,FALSE,3.921565294,5.076031651,13.1102,1.9134,11.3536,2.849,5.4762,0.4944,FALSE,,1.484968757,1.940154914,0.290821194,FALSE,FE,mens
8097,1,4,1,F,B,FALSE,FALSE,FALSE,TRUE,18.20325725,34.27181667,-16.06855942,5.00762718,0.494466336,4.513160844,0.342026202,TRUE,-0.342026202,1.232843936,FALSE,1.232843936,3.757222144,15.232,1.9144,13.376,1.3524,8.8974,3.0676,FALSE,,0.397644886,2.099501728,0.273000794,FALSE,FE,mens
1058,1,4,1,F,F,TRUE,FALSE,TRUE,TRUE,26.31034352,33.53241402,-7.2220705,4.921417816,0.337667878,4.583749938,0.835182075,TRUE,-0.835182075,0.529198188,FALSE,0.529198188,4.463858241,15.9614,2.8862,14.5938,1.363,9.848,0.4748,FALSE,,0.349238584,2.713661742,0.319320559,FALSE,FE,mens
3475,1,7,2,F,F,TRUE,FALSE,TRUE,TRUE,22.04122596,14.81340752,7.22781844,4.894907471,0.151248563,4.743658908,0.090794033,FALSE,0.090794033,4.939850132,FALSE,4.939850132,6.372948545,11.533,3.0552,12.8134,3.1878,3.802,0.0526,FALSE,,0.867301105,4.25757696,0.228316186,TRUE,FE,mens
8915,1,10,1,B,F,FALSE,FALSE,TRUE,FALSE,20.98983828,20.93357019,0.05626809,4.885050445,0.211559686,4.673490759,1.206945639,FALSE,1.206945639,8.231386764,FALSE,8.231386764,0.992323536,10.5658,1.9902,11.3452,1.376,5.9168,1.9546,TRUE,,1.082627194,1.415916829,0.359717479,FALSE,FE,mens
401,1,14,2,F,F,TRUE,FALSE,TRUE,TRUE,21.57578487,33.40307455,-11.82728968,4.812896732,0.758537583,4.054359149,0.237564599,TRUE,-0.237564599,4.83106391,FALSE,4.83106391,4.444248728,15.9856,3.0292,14.5996,1.1934,11.8124,4.3446,FALSE,,0.090823542,0.219312404,0.400980022,FALSE,FE,mens
3795,1,5,2,F,B,FALSE,FALSE,FALSE,TRUE,23.24650872,18.89423116,4.35227756,4.808366952,0.329575622,4.47879133,1.222325289,FALSE,1.222325289,1.212788213,TRUE,-1.212788213,7.227290715,14.4726,3.5508,12.6658,3.447,5.1522,1.7054,FALSE,,0.69575172,1.390808081,0.253786404,TRUE,FE,mens
9160,1,13,1,B,F,FALSE,FALSE,TRUE,FALSE,22.42723516,22.18070491,0.24653025,4.730515956,0.308441694,4.422074262,2.661890374,FALSE,2.661890374,0.474329461,TRUE,-0.474329461,0.727445118,13.293,2.1152,13.0504,1.4294,5.9506,0.7246,TRUE,,1.80836019,1.821933215,0.262968599,TRUE,FE,mens
3492,1,7,2,B,F,FALSE,FALSE,TRUE,FALSE,23.36404105,38.64285923,-15.27881818,4.703227808,0.398072558,4.30515525,0.603131118,TRUE,-0.603131118,3.890362489,FALSE,3.890362489,2.561311578,16.475,3.7152,16.3616,1.1564,10.4016,3.7618,FALSE,,1.866155359,5.823148149,0.434489984,TRUE,FE,mens
6657,1,4,1,F,F,TRUE,FALSE,TRUE,TRUE,19.6762305,27.82523057,-8.14900007,4.642321739,0.682102756,3.960218983,2.631888699,FALSE,2.631888699,4.322050988,FALSE,4.322050988,4.934704518,12.0188,1.6208,11.8616,3.3114,6.3882,0.5288,TRUE,,1.777398563,2.16675771,0.287600135,FALSE,FE,mens
1581,1,3,2,F,F,TRUE,FALSE,TRUE,TRUE,24.42867336,35.77092678,-11.34225342,4.632147386,0.889733844,3.742413542,2.920836054,FALSE,2.920836054,3.871584683,FALSE,3.871584683,1.783839959,12.723,2.0594,11.346,0.9254,11.4598,2.6358,FALSE,,1.44373441,1.068083949,0.359676367,TRUE,FE,mens
7339,1,4,1,B,B,TRUE,FALSE,FALSE,FALSE,20.94122247,32.54661929,-11.60539682,4.612947486,0.50979808,4.103149406,3.693574008,FALSE,3.693574008,0.464493584,TRUE,-0.464493584,5.340255428,14.259,2.4454,12.292,2.5194,11.4002,1.2442,FALSE,,1.071420685,2.764301823,0.383645993,FALSE,FE,mens
1220,1,4,2,V,F,FALSE,FALSE,TRUE,FALSE,22.14350464,35.9202611,-13.77675646,4.584134782,0.796622384,3.787512398,1.829308199,FALSE,1.829308199,7.314212113,FALSE,7.314212113,6.22252092,14.4066,1.7696,10.9012,3.3716,11.8762,0.8358,FALSE,,1.446187441,0.313655327,0.380917821,FALSE,FE,mens
