rally,serve,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player,id,train,outcome,gender
3,2,B,30.94046087,-0.183662712,1.986713872,7.834750338,FALSE,FALSE,1.168944276,12.4214,1.53,11.959,0.4564,29.92904893,0.352122374,3.267710632,5.729161567,12.3106,4.0826,FALSE,B,0.473263757,TRUE,3036,1,UE,womens
3,1,F,29.51052569,0.227835425,2.87154315,6.850738298,FALSE,FALSE,2.256466556,12.717,1.395,11.5306,0.5244,30.99136512,0.416195966,1.789645646,4.659704033,12.5244,2.7324,FALSE,F,0.455573819,TRUE,1804,1,W,womens
5,1,B,30.85187889,0.217548562,2.026891355,6.572249864,FALSE,FALSE,2.88869394,12.687,3.0484,13.2912,0.2236,27.10876601,0.439387901,1.808848446,6.375971053,15.235,1.4222,FALSE,B,0.654022846,TRUE,2727,1,UE,womens
14,2,B,21.38617628,4.54388626,0.295634427,1.741846212,TRUE,FALSE,2.666414799,14.8894,1.527,13.3802,0.6712,26.54313165,0.420424086,1.31550011,3.326359727,7.2042,2.9014,FALSE,F,0.273405516,FALSE,1097,1,UE,womens
3,1,B,33.22703971,0.640659492,0.603024592,1.51281669,FALSE,FALSE,4.516473691,7.6248,1.2746,11.2534,1.4146,15.0020624,1.353202381,1.159843493,8.293992232,12.0662,4.5538,FALSE,F,1.05650868,TRUE,5576,1,W,womens
11,2,F,36.64515559,-0.244308652,2.050255015,8.14454208,FALSE,FALSE,2.395122085,13.787,1.8274,13.1818,0.49,32.33376349,0.487559762,1.295807189,3.070697255,12.902,2.253,FALSE,B,0.470805774,TRUE,3699,1,UE,womens
8,1,F,31.21288872,0.590291793,0.176520007,3.158900159,TRUE,FALSE,1.51112885,13.0308,0.2104,14.5092,0.5232,30.94415332,0.206478569,4.007359664,6.3065131,13.0372,1.5546,TRUE,F,0.497440135,FALSE,3309,1,UE,womens
3,1,B,33.68405857,1.469187681,0.147062752,2.503010292,TRUE,FALSE,3.086400006,13.0276,0.771,11.1756,1.698,26.49107306,1.012504647,2.357965563,2.538992998,12.325,3.1482,FALSE,B,0.535866092,TRUE,355,1,UE,womens
5,1,B,33.21571309,0.39119106,1.50990467,3.734686348,TRUE,FALSE,2.576791245,14.105,2.982,13.8526,0.4176,34.64267755,0.816433963,1.421107461,2.273745331,13.459,2.5912,FALSE,B,0.47183422,TRUE,2590,1,UE,womens
4,1,U,15.41503266,1.131936421,1.411555133,1.707844374,FALSE,TRUE,5.252259499,14.732,1.9142,12.735,2.9436,32.40256355,0.339742817,1.483014594,3.117333104,10.345,1.1794,FALSE,F,0.341777766,FALSE,6070,1,FE,womens
